,id,open,close,low,high,amount,vol,count
55,2018-06-14 00:00:00,10.42,10.34,9.98,10.95,247699.31712181246,2601382.4943876686,16461.0
56,2018-06-13 00:00:00,11.57,10.41,10.41,11.57,241898.57202464045,2656538.27779934,15598.0
57,2018-06-12 00:00:00,11.16,11.56,11.1,12.73,316302.3654088621,3760597.4115122044,16386.0
58,2018-06-11 00:00:00,12.42,11.17,11.08,12.9,407444.02458847745,4728283.424360725,21116.0
59,2018-06-10 00:00:00,13.29,12.38,11.96,13.29,190308.12987542586,2381476.458777519,13931.0
60,2018-06-09 00:00:00,13.3,13.29,13.16,13.5,86128.22509473399,1149443.9540676454,11966.0
61,2018-06-08 00:00:00,13.56,13.26,13.11,13.69,108338.54833795635,1449496.528742739,10993.0
62,2018-06-07 00:00:00,13.73,13.56,13.37,13.92,102507.99966168478,1403660.2572317726,11423.0
63,2018-06-06 00:00:00,13.66,13.72,13.59,13.98,142615.68841871843,1963374.9441290055,10923.0
64,2018-06-05 00:00:00,13.51,13.68,13.0,13.8,240821.8072430485,3228386.639919228,9732.0
65,2018-06-04 00:00:00,14.73,13.51,13.38,14.8,240082.86443019073,3382787.433888697,13776.0
66,2018-06-03 00:00:00,14.52,14.75,14.37,14.88,222028.37127668082,3245383.5155396555,11945.0
67,2018-06-02 00:00:00,13.7,14.5,13.58,14.79,281232.3759804252,4054019.9530640747,15096.0
68,2018-06-01 00:00:00,13.4,13.7,13.12,14.18,275600.5294622737,3749613.143149135,14389.0
69,2018-05-31 00:00:00,12.8,13.4,12.7,13.43,197791.4471766786,2598735.62157442,12452.0
70,2018-05-30 00:00:00,12.94,12.81,12.75,13.55,325099.17159129557,4295017.026535313,15002.0
71,2018-05-29 00:00:00,12.38,12.94,11.91,13.19,373137.56265236204,4631223.794038402,16531.0
72,2018-05-28 00:00:00,13.12,12.38,12.31,13.39,249457.2133843148,3180024.4668419682,14228.0
73,2018-05-27 00:00:00,13.43,13.11,12.9,13.65,186382.4232495677,2444670.730845348,11712.0
74,2018-05-26 00:00:00,13.34,13.41,12.92,13.72,211915.78275491725,2816760.137928749,11074.0
75,2018-05-25 00:00:00,13.62,13.36,12.94,14.17,363870.001305707,4906618.749702409,13082.0
76,2018-05-24 00:00:00,13.48,13.62,12.52,13.82,607032.9163673319,8025490.380970684,20925.0
77,2018-05-23 00:00:00,15.64,13.51,13.3,15.68,383693.0769303393,5499143.8068862725,14397.0
78,2018-05-22 00:00:00,16.11,15.64,15.2,16.27,193115.20253110986,3030144.342513985,9326.0
79,2018-05-21 00:00:00,16.44,16.11,15.96,17.19,272214.65219632816,4517893.741239334,13177.0
80,2018-05-20 00:00:00,16.11,16.43,15.83,16.6,199221.15207405837,3217943.5775304125,9373.0
81,2018-05-19 00:00:00,15.39,16.09,15.24,16.41,245543.31950439606,3891566.0803866275,12175.0
82,2018-05-18 00:00:00,16.18,15.39,14.85,16.22,252776.90786471387,3905888.3334812443,10957.0
83,2018-05-17 00:00:00,16.21,16.18,15.91,16.95,228305.59417253523,3736602.307988656,12365.0
84,2018-05-16 00:00:00,17.27,16.18,15.6,17.56,332720.43338881916,5466307.6661899015,14327.0
85,2018-05-15 00:00:00,18.54,17.28,17.0,18.7,350917.081071858,6257683.920416452,18332.0
86,2018-05-14 00:00:00,17.42,18.56,16.0,18.84,422228.52869921736,7276193.953277706,20161.0
87,2018-05-13 00:00:00,15.39,17.42,15.11,17.5,285076.5581031111,4669018.966613364,14424.0
88,2018-05-12 00:00:00,16.34,15.39,14.11,16.8,495077.71626256115,7721520.761707714,22043.0
89,2018-05-11 00:00:00,19.95,16.3,15.35,20.23,500592.5188532309,8635882.62286492,25427.0
90,2018-05-10 00:00:00,20.06,19.95,19.59,20.3,181267.37586578284,3601418.1933070766,12781.0
91,2018-05-09 00:00:00,20.63,20.05,18.98,20.93,247315.3363730915,4906099.425539841,14350.0
92,2018-05-08 00:00:00,21.09,20.62,20.31,21.77,237766.55771854677,5027785.338756319,15377.0
93,2018-05-07 00:00:00,21.9,21.1,20.57,23.37,336922.52241075656,7244170.700842451,16757.0
94,2018-05-06 00:00:00,22.74,21.91,21.36,23.96,440596.6203723378,9963142.644668505,23799.0
95,2018-05-05 00:00:00,21.71,22.74,21.61,22.98,290212.7380755824,6527429.749401262,16125.0
96,2018-05-04 00:00:00,22.6,21.71,21.61,23.88,526367.110957142,12052420.712566294,24077.0
97,2018-05-03 00:00:00,22.0,22.59,21.71,22.99,373431.35011803673,8331467.553449528,21500.0
98,2018-05-02 00:00:00,21.01,22.0,21.0,22.29,239492.56528183393,5208494.657228833,15932.0
99,2018-05-01 00:00:00,23.38,21.0,20.43,23.84,495280.28089749767,10690539.041396571,25619.0
100,2018-04-30 00:00:00,22.57,23.38,22.0,25.8,916003.6340041979,21737605.21645773,43423.0
101,2018-04-29 00:00:00,21.26,22.6,20.2,22.99,713216.7617602322,15649022.463747745,34771.0
102,2018-04-28 00:00:00,20.46,21.26,19.42,21.41,360738.05269887904,7442938.443878697,22956.0
103,2018-04-27 00:00:00,19.37,20.45,19.29,21.1,231442.0606832589,4741859.694322111,16179.0
104,2018-04-26 00:00:00,19.27,19.38,18.39,20.27,274421.6261649513,5280568.288797101,23957.0
105,2018-04-25 00:00:00,21.72,19.28,18.25,23.99,564875.6186897003,11773293.840073097,35619.0
106,2018-04-24 00:00:00,20.27,21.71,20.09,22.08,321590.5657091094,6875021.987146481,21193.0
107,2018-04-23 00:00:00,19.83,20.29,19.02,20.85,308640.2863239502,6219911.795401421,22068.0
108,2018-04-22 00:00:00,19.34,19.85,18.53,19.95,230636.34031551355,4440272.0274455575,19455.0
109,2018-04-21 00:00:00,18.93,19.33,17.84,20.7,327839.7102424526,6356728.3992006155,26839.0
110,2018-04-20 00:00:00,18.08,18.91,18.0,19.4,268623.71194769995,5034138.193701235,20895.0
111,2018-04-19 00:00:00,16.82,18.1,16.8,18.38,219096.9904383231,3879244.341023666,19767.0
112,2018-04-18 00:00:00,16.71,16.82,16.14,17.2,188636.17239398157,3162068.5324971606,17377.0
113,2018-04-17 00:00:00,15.81,16.7,15.71,17.03,199061.40114903328,3286100.797743669,17727.0
114,2018-04-16 00:00:00,16.57,15.82,15.51,16.94,243842.78000660022,3957565.5960188583,17711.0
115,2018-04-15 00:00:00,15.63,16.56,15.5,17.1,231739.79172988542,3805045.0665827496,17323.0
116,2018-04-14 00:00:00,16.66,15.62,15.37,17.04,370140.224609324,5931857.0275872545,21854.0
117,2018-04-13 00:00:00,15.23,16.65,15.2,17.55,705970.5194825998,11609886.095635533,31970.0
118,2018-04-12 00:00:00,13.76,15.24,13.0,15.6,638458.247003937,9236198.04863182,27592.0
119,2018-04-11 00:00:00,13.36,13.8,13.3,14.07,191033.999392166,2600064.413660796,14803.0
120,2018-04-10 00:00:00,13.23,13.38,12.89,13.47,123327.43927172926,1630904.2902637497,12738.0
121,2018-04-09 00:00:00,13.47,13.24,12.98,14.75,275710.21949372673,3813043.3067726335,17377.0
122,2018-04-08 00:00:00,13.37,13.48,13.0,13.54,93542.45055348444,1240088.7555143952,11670.0
123,2018-04-07 00:00:00,12.74,13.37,12.64,13.42,121992.93714241873,1595889.4164308952,13075.0
124,2018-04-06 00:00:00,13.17,12.74,12.56,13.47,112306.99402362862,1460529.9528072309,13352.0
125,2018-04-05 00:00:00,13.44,13.18,12.87,13.76,136894.11990951904,1816609.7103253077,15218.0
126,2018-04-04 00:00:00,14.72,13.44,13.36,15.01,135582.36040753612,1945765.2296152813,14334.0
127,2018-04-03 00:00:00,14.27,14.73,13.92,14.87,182040.99217333223,2632244.4826343446,15255.0
128,2018-04-02 00:00:00,12.67,14.27,12.65,14.61,194578.8838436965,2718352.155810032,17179.0
129,2018-04-01 00:00:00,14.25,12.67,12.57,14.5,138408.2013941634,1869835.6808052661,14988.0
130,2018-03-31 00:00:00,14.05,14.25,13.56,14.73,142042.5506030944,2022514.1509528724,15440.0
131,2018-03-30 00:00:00,14.58,14.02,13.35,15.08,229586.87594659545,3245039.199984339,19289.0
132,2018-03-29 00:00:00,15.26,14.59,14.18,15.66,131946.66280853355,1961137.959506524,16404.0
133,2018-03-28 00:00:00,15.68,15.25,15.03,16.14,122898.72159917383,1917163.1576816721,12768.0
134,2018-03-27 00:00:00,16.0,15.75,14.58,16.42,171035.70203872205,2642826.784034017,17944.0
